event,completeTime,case
37,2022-08-20 14:02:00,2337
37,2022-08-20 14:20:00,2337
22,2022-08-20 17:47:00,2400
22,2022-08-20 17:48:00,2400
22,2022-08-20 17:48:00,2400
37,2022-08-20 23:18:00,1560
37,2022-08-21 06:24:00,1550
22,2022-08-21 10:37:00,1615
22,2022-08-21 10:37:00,1615
22,2022-08-21 10:37:00,1615
5,2022-08-21 10:37:00,1615
5,2022-08-21 10:40:00,1615
5,2022-08-21 10:42:00,1615
5,2022-08-21 10:44:00,1615
5,2022-08-21 10:44:00,1615
5,2022-08-21 10:44:00,1615
22,2022-08-21 14:57:00,1453
22,2022-08-21 14:57:00,1453
22,2022-08-21 14:57:00,1453
5,2022-08-21 14:58:00,1453
22,2022-08-21 15:39:00,1496
22,2022-08-21 15:40:00,1496
22,2022-08-21 15:41:00,1496
37,2022-08-22 00:04:00,1481
37,2022-08-22 00:51:00,1388
22,2022-08-22 08:06:00,2340
22,2022-08-22 08:07:00,2340
22,2022-08-22 09:10:00,2331
22,2022-08-22 09:11:00,2331
22,2022-08-22 09:11:00,2331
22,2022-08-22 09:11:00,2331
5,2022-08-22 09:11:00,2331
5,2022-08-22 09:12:00,2331
5,2022-08-22 09:14:00,2331
5,2022-08-22 09:14:00,2331
5,2022-08-22 09:15:00,2331
5,2022-08-22 09:15:00,2331
22,2022-08-22 09:17:00,2365
22,2022-08-22 11:56:00,2457
22,2022-08-22 16:01:00,1331
22,2022-08-22 16:02:00,1331
22,2022-08-22 16:02:00,1331
22,2022-08-22 16:02:00,1331
22,2022-08-22 16:05:00,1331
5,2022-08-22 16:06:00,1331
37,2022-08-22 21:50:00,1544
5,2022-08-22 21:57:00,1166
5,2022-08-22 21:57:00,1166
5,2022-08-22 22:03:00,1166
5,2022-08-22 22:03:00,1166
37,2022-08-23 15:26:00,1312
37,2022-08-23 15:28:00,1312
37,2022-08-23 16:40:00,2492
37,2022-08-23 16:54:00,2492
5,2022-08-23 20:20:00,1166
5,2022-08-24 07:27:00,2230
37,2022-08-24 09:46:00,1503
22,2022-08-24 14:19:00,624
22,2022-08-24 15:16:00,1591
22,2022-08-24 15:43:00,1337
22,2022-08-24 15:44:00,1337
22,2022-08-24 15:44:00,1337
22,2022-08-24 15:44:00,1337
22,2022-08-24 15:45:00,1337
37,2022-08-24 22:22:00,1394
22,2022-08-25 22:10:00,1397
5,2022-08-25 22:13:00,1397
5,2022-08-25 22:14:00,1397
37,2022-08-26 00:23:00,1207
37,2022-08-26 00:23:00,1207
37,2022-08-26 09:34:00,2521
37,2022-08-26 09:34:00,2521
37,2022-08-26 14:46:00,1411
22,2022-08-26 15:24:00,2657
22,2022-08-26 15:24:00,2657
22,2022-08-26 15:25:00,2657
22,2022-08-26 15:27:00,2657
22,2022-08-26 18:01:00,1755
22,2022-08-26 18:02:00,1755
37,2022-08-27 14:38:00,2298
37,2022-08-27 14:38:00,2298
22,2022-08-27 17:48:00,2465
22,2022-08-27 17:48:00,2465
5,2022-08-27 17:49:00,2465
22,2022-08-27 22:11:00,2365
22,2022-08-27 22:11:00,2365
22,2022-08-27 22:12:00,2365
5,2022-08-27 22:13:00,2365
5,2022-08-27 22:16:00,2365
5,2022-08-27 22:18:00,2365
5,2022-08-27 22:21:00,2365
5,2022-08-27 22:21:00,2365
5,2022-08-27 22:21:00,2365
5,2022-08-27 22:21:00,2365
5,2022-08-27 22:24:00,2365
22,2022-08-27 22:24:00,2365
5,2022-08-27 22:24:00,2365
5,2022-08-27 22:27:00,2365
5,2022-08-27 22:28:00,2365
5,2022-08-27 22:29:00,2365
5,2022-08-27 22:29:00,2365
5,2022-08-27 22:39:00,2365
37,2022-08-28 13:10:00,2358
22,2022-08-28 14:11:00,1279
22,2022-08-28 20:29:00,2406
22,2022-08-28 20:29:00,2406
5,2022-08-28 20:29:00,2406
22,2022-08-28 22:09:00,2641
22,2022-08-28 22:09:00,2641
5,2022-08-28 22:09:00,2641
22,2022-08-29 09:45:00,2596
22,2022-08-29 10:05:00,2564
22,2022-08-29 10:06:00,2564
22,2022-08-29 10:08:00,2564
22,2022-08-29 10:09:00,2564
22,2022-08-29 10:09:00,2564
32,2022-08-29 10:10:00,2564
32,2022-08-29 10:11:00,2564
32,2022-08-29 10:12:00,2564
32,2022-08-29 10:12:00,2564
22,2022-08-29 10:49:00,2416
22,2022-08-29 10:49:00,2416
22,2022-08-29 10:50:00,2416
22,2022-08-29 10:52:00,2416
37,2022-08-29 15:10:00,1425
37,2022-08-29 15:11:00,1425
37,2022-08-29 15:11:00,1425
5,2022-08-29 15:53:00,2641
37,2022-08-29 16:28:00,2358
22,2022-08-29 17:34:00,1553
22,2022-08-29 17:34:00,1553
5,2022-08-29 17:34:00,1553
5,2022-08-29 17:41:00,1553
5,2022-08-29 17:42:00,1553
22,2022-08-29 19:21:00,2649
22,2022-08-29 19:21:00,2649
22,2022-08-29 20:29:00,1363
22,2022-08-29 20:30:00,1363
22,2022-08-29 20:30:00,1363
22,2022-08-29 20:30:00,1363
22,2022-08-29 20:30:00,1363
22,2022-08-29 21:06:00,1615
37,2022-08-29 21:06:00,2196
22,2022-08-29 21:07:00,1615
37,2022-08-29 21:07:00,2196
22,2022-08-29 22:30:00,1615
22,2022-08-29 22:30:00,1615
22,2022-08-29 22:31:00,1615
37,2022-08-29 22:34:00,1404
32,2022-08-30 00:03:00,1533
32,2022-08-30 00:04:00,1533
37,2022-08-30 00:59:00,2447
37,2022-08-30 00:59:00,2447
37,2022-08-30 09:36:00,2347
37,2022-08-30 11:06:00,397
37,2022-08-30 11:06:00,397
22,2022-08-30 11:55:00,1533
22,2022-08-30 11:56:00,1533
32,2022-08-30 11:57:00,1533
32,2022-08-30 11:57:00,1533
